Order,"HSK Level-Order",Word,Pronunciation,Definition,Score
552,2-273,运动,yun4 dong4,movement; campaign; CL: 場|场[chang3]; sports,0
553,1-138,在,zai4,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),0
554,2-275,再,zai4,"again; once more; re-; second; another; then (after sth, and not until then)",0
555,1-139,再见,zai4 jian4,goodbye; see you again later,0
556,2-277,早上,zao3 shang5,early morning; CL:個|个[ge4]; Good morning!,0
557,1-140,怎么,zen3 me5,how?; what?; why?,0
558,1-141,怎么样,zen3 me5 yang4,how?; how about?; how was it?; how are things?,0
559,3-559,站,zhan4,station; to stand; to halt; to stop; branch of a company or organisation,0
560,2-280,张,zhang1,"to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes",0
561,3-561,长,zhang3,chief; head; elder; to grow; to develop,0
562,2-281,丈夫,zhang4 fu5,husband; CL:個|个[ge4],0
563,3-563,着急,zhao2 ji2,to worry; to feel anxious,0
564,2-282,找,zhao3,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,0
565,3-565,照顾,zhao4 gu5,to take care of; to show consideration; to attend to; to look after,0
566,3-566,照片,zhao4 pian4,"photo; photograph; picture; CL:張|张[zhang1],套[tao4],幅[fu2]",0
567,3-567,照相机,zhao4 xiang4 ji1,"camera; CL:個|个[ge4],架[jia4],部[bu4],台[tai2],隻|只[zhi1]",0
568,1-142,这(儿),zhe4(r5),"this; these; (here)(commonly pr. zhei4 before a classifier, esp. in Beijing)",0
569,2-284,着,zhe5,"particle attached after verb to indicate action in progress, like -ing ending",0
570,2-285,真,zhen1,really; truly; indeed; real; true; genuine,0
571,2-286,正在,zheng4 zai4,in the process of (doing something or happening); while (doing),0
572,2-287,知道,zhi1 dao5,to know; to be aware of,0
573,3-573,只,zhi3,only; merely; just; but,0
574,1-143,中国,Zhong1 guo2,China; Middle Kingdom,0
575,3-575,中间,zhong1 jian1,between; intermediate; mid; middle,0
576,1-144,中午,zhong1 wu3,noon; midday; CL:個|个[ge4],0
577,3-577,终于,zhong1 yu2,at last; in the end; finally; eventually,0
578,3-578,种,zhong3,"abbr. for 物種|物种, genus; race; seed; breed; species; strain; kind; type; has guts (i.e. courage); nerve; classifier for types: kind, sort; classifier for languages",0
579,3-579,重要,zhong4 yao4,important; significant; major,0
580,3-580,周末,zhou1 mo4,weekend,0
581,3-581,主要,zhu3 yao4,main; principal; major; primary,0
582,1-145,住,zhu4,to live; to dwell; to stay; to reside; to stop,0
583,3-583,祝,zhu4,invoke; pray to; wish; to express good wishes; surname Zhu,0
584,3-584,注意,zhu4 yi4,to take note of; to pay attention to,0
585,2-291,准备,zhun3 bei4,preparation; prepare,0
586,1-146,桌子,zhuo1 zi5,"table; desk; CL:張|张[zhang1],套[tao4]",0
587,1-147,字,zi4,letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China,0
588,3-588,字典,zi4 dian3,dictionary; character dictionary; CL:本[ben3],0
589,3-589,自己,zi4 ji3,self; (reflexive pronoun); own,0
590,2-294,自行车,zi4 xing2 che1,bicycle; bike; CL:輛|辆[liang4],0
591,3-591,总是,zong3 shi4,always,0
592,2-295,走,zou3,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走); to change (shape, form, meaning)",0
593,2-296,最,zui4,most; the most; -est,0
594,3-594,最近,zui4 jin4,recent; recently; these days; latest; soon; nearest (of locations); shortest (of routes),0
595,1-148,昨天,zuo2 tian1,yesterday,0
596,2-298,左边,zuo3 bian5,left; the left side; to the left of,0
597,1-149,坐,zuo4,"to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; surname Zuo",0
598,1-150,做,zuo4,to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance,0
599,3-599,作业,zuo4 ye4,school assignment; homework; work; task; operation; to operate; CL:個|个[ge4],0
600,3-600,作用,zuo4 yong4,"to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; to play a role; corresponds to English -ity, -ism, -ization; CL:個|个[ge4]",0
